Mulugu	40	18.191	79.943
Bihar Sharif	34	25.201	85.524
Bali	28	22.649	88.341
Rampur	36	28.810	79.027
Darbhanga	34	26.152	85.897
Panipat	10	29.387	76.968
Tirupati	02	13.636	79.420
Greater Noida	36	28.496	77.536
Noida	36	28.580	77.330
Aizawl	31	23.729	92.718
Gandhinagar	09	23.217	72.683
Dindigul	25	10.369	77.980
Thanjavur	25	10.785	79.139
Karimnagar	40	18.439	79.129
Dewas	35	22.966	76.055
Sonipat	10	28.995	77.019
Ichalkaranji	16	16.691	74.461
Bathinda	23	30.207	74.939
Jalna	16	19.841	75.886
Kirari Sulemannagar	07	28.697	77.065
Satna	35	24.577	80.827
Purnia	34	25.779	87.474
Imphal	17	24.808	93.944
Saugor	35	23.839	78.739
Kushinagar	36	26.741	83.887
Rourkela	21	22.225	84.864
Durg	37	21.191	81.276
Anantapur	02	14.678	77.608
Ratlam	35	23.330	75.040
Ranipet	25	12.925	79.333
Lal Bahadur Nagar	40	17.348	78.558
Arrah	34	25.556	84.663
Baranagar	28	22.641	88.377
Gajuwaka	02	17.700	83.217
Etawah	36	26.776	79.021
Ambarnath	16	19.200	73.167
Naihati	28	22.894	88.415
Bharatpur	24	27.217	77.490
Begusarai	34	25.419	86.134
Tiruvottiyur	25	13.158	80.302
Gandhidham	09	23.083	70.133
Mau	36	25.942	83.561
Sikar	24	27.612	75.140
Ramagundam	40	18.755	79.474
Hapur	36	28.730	77.781
Farrukhabad	36	27.391	79.579
Alappuzha	13	9.490	76.326
Katihar	34	25.539	87.570
Sri Ganganagar	24	29.920	73.875
Rewa	35	24.533	81.292
Uluberiya	28	22.476	88.099
Sivakasi	25	9.450	77.798
Karur	25	10.958	78.081
Raichur	19	16.205	77.356
Pallavaram	25	12.968	80.150
Ooty	25	11.413	76.695
Pali	24	25.773	73.323
Hosur	25	12.736	77.833
Vizianagaram	02	18.117	83.411
Shrirampur	28	22.753	88.342
Quthbullapur	40	17.501	78.458
Nadiad	09	22.694	72.862
Nagercoil	25	8.179	77.432
Karawalnagar	07	28.727	77.270
Mango	38	22.828	86.216
Murwara	35	23.838	80.394
Kanchipuram	25	12.835	79.700
Singrauli	35	24.200	82.675
Mirzapur	36	25.145	82.565
Kharagpur	28	22.340	87.325
Eluru	02	16.713	81.104
Raniganj	40	17.428	78.494
Yamuna Nagar	10	30.128	77.284
Raurkela Industrial Township	21	22.200	84.862
Bidar	19	17.908	77.515
Munger	34	25.375	86.475
Nandyal	02	15.478	78.484
Panchkula	10	30.695	76.850
Burhanpur	35	21.309	76.230
Morvi	09	22.817	70.838
Anand	09	22.553	72.955
Ongole	02	15.504	80.045
Hosapete	19	15.270	76.387
Nangloi Jat	07	28.680	77.068
Secunderabad	40	17.504	78.543
Deoghar	38	24.490	86.699
Chapra	34	25.780	84.747
Khandwa	35	21.824	76.351
Puri	21	19.798	85.825
Morena	35	26.499	77.995
Gyanpur	36	25.333	82.466
Bulandshahr	36	28.404	77.858
Bhind	35	26.567	78.787
Bhalswa Jahangirpur	07	28.736	77.167
Khammam	40	17.248	80.144
Sambhal	36	28.585	78.570
Bhiwani	10	28.793	76.140
Panvel	16	18.989	73.110
Ambala	10	30.361	76.798
Kumarapalayam	25	11.445	77.711
Machilipatnam	02	16.187	81.139
Mahesana	09	23.599	72.385
Mahbubnagar	40	16.744	77.986
